van_id,visit_date,outlet_id,lng,lat,check_in_at,check_out_at,travelled_time,created_at
V2XV001,4/7/2023,21110138,100.74382,4.84922,2023-07-04 08:50:53.000 +0800,2023-07-04 09:43:09.828 +0800,51:46.8,2023-07-04 08:50:53.745 +0800
V2XV001,4/7/2023,739071,100.74296,4.85025,2023-07-04 08:51:23.000 +0800,2023-07-04 09:58:31.858 +0800,06:34.9,2023-07-04 08:51:24.014 +0800
V2XV001,4/7/2023,732868,100.74288,4.85389,2023-07-04 08:51:57.000 +0800,2023-07-04 09:53:58.082 +0800,-07:05:45.918,2023-07-04 08:51:58.055 +0800
V2XV001,4/7/2023,698148,100.73873,4.85025,2023-07-04 16:59:44.000 +0800,2023-07-04 17:03:54.591 +0800,04:04.6,2023-07-04 16:59:44.001 +0800
V2XV001,4/7/2023,21110088,100.74023,4.84738,2023-07-04 16:59:50.000 +0800,2023-07-04 16:59:44.987 +0800,-00:00:11.013,2023-07-04 16:59:50.129 +0800
V2XV001,4/7/2023,463231,100.74028,4.84741,2023-07-04 16:59:56.000 +0800,2023-07-04 16:59:50.996 +0800,-00:00:11.004,2023-07-04 16:59:56.104 +0800
V2XV001,4/7/2023,21110121,100.74265,4.84836,2023-07-04 17:00:02.000 +0800,2023-07-04 16:59:56.982 +0800,-00:00:12.018,2023-07-04 17:00:02.139 +0800
V2XV001,4/7/2023,21110051,100.74262,4.84864,2023-07-04 17:00:09.000 +0800,2023-07-04 17:00:03.365 +0800,-00:00:12.635,2023-07-04 17:00:09.565 +0800
V2XV001,4/7/2023,670483,100.74362,4.84816,2023-07-04 17:00:16.000 +0800,2023-07-04 17:00:10.724 +0800,-00:00:11.276,2023-07-04 17:00:16.045 +0800
V2XV001,4/7/2023,21103151,100.74331,4.84936,2023-07-04 17:00:22.000 +0800,2023-07-04 17:00:17.346 +0800,-00:00:11.654,2023-07-04 17:00:22.495 +0800
V2XV001,4/7/2023,21110081,100.74389,4.85034,2023-07-04 17:00:29.000 +0800,2023-07-04 17:00:23.988 +0800,-00:00:12.012,2023-07-04 17:00:29.946 +0800
V2XV001,4/7/2023,21110058,100.74401,4.84987,2023-07-04 17:00:36.000 +0800,2023-07-04 17:01:55.178 +0800,01:12.2,2023-07-04 17:00:36.842 +0800
V2XV001,4/7/2023,21110057,100.7439,4.85032,2023-07-04 17:00:43.000 +0800,2023-07-04 17:00:38.091 +0800,-00:00:11.909,2023-07-04 17:00:43.245 +0800
V2XV001,4/7/2023,360882,100.74391,4.85021,2023-07-04 17:00:50.000 +0800,2023-07-04 17:02:36.952 +0800,01:40.0,2023-07-04 17:00:50.113 +0800
V2XV001,4/7/2023,21110043,100.74137,4.84993,2023-07-04 17:00:57.000 +0800,2023-07-04 17:03:41.550 +0800,02:09.6,2023-07-04 17:00:57.075 +0800
V2XV001,4/7/2023,807887,100.74339,4.85184,2023-07-04 17:01:32.000 +0800,2023-07-04 17:01:26.899 +0800,-00:00:12.101,2023-07-04 17:01:32.505 +0800
V2XV001,4/7/2023,21114067,100.74648,4.86096,2023-07-04 17:01:39.000 +0800,2023-07-04 17:01:34.317 +0800,-00:00:11.683,2023-07-04 17:01:39.733 +0800
V2XV001,4/7/2023,21114047,100.74231,4.85398,2023-07-04 17:01:46.000 +0800,2023-07-04 17:01:41.347 +0800,-00:00:11.653,2023-07-04 17:01:46.431 +0800
V2XV001,4/7/2023,21101168,100.74315,4.85332,2023-07-04 17:01:53.000 +0800,2023-07-04 17:01:48.126 +0800,-00:00:18.874,2023-07-04 17:01:53.286 +0800
V2XV001,4/7/2023,21110083,100.74274,4.84725,2023-07-04 17:02:07.000 +0800,2023-07-04 17:02:02.584 +0800,-00:00:13.416,2023-07-04 17:02:07.761 +0800
V2XV001,4/7/2023,21110086,100.74041,4.84678,2023-07-04 17:02:16.000 +0800,2023-07-04 17:02:10.232 +0800,-00:00:38.768,2023-07-04 17:02:16.170 +0800
V2XV001,4/7/2023,821249,100.74383,4.85258,2023-07-04 17:02:49.000 +0800,2023-07-04 17:02:44.032 +0800,-00:00:12.968,2023-07-04 17:02:49.130 +0800
V2XV001,4/7/2023,834699,100.743484,4.84965,2023-07-04 17:02:57.000 +0800,2023-07-04 17:02:51.755 +0800,-00:00:17.245,2023-07-04 17:02:57.465 +0800
V2XV001,4/7/2023,21101100,100.7477,4.84457,2023-07-04 17:03:09.000 +0800,2023-07-04 17:03:11.663 +0800,-00:00:12.337,2023-07-04 17:03:09.483 +0800
V2XV001,4/7/2023,21114108,100.74403,4.84909,2023-07-04 17:03:24.000 +0800,2023-07-04 17:03:19.610 +0800,-00:00:11.39,2023-07-04 17:03:24.740 +0800
V2XV001,4/7/2023,21101069,100.75128,4.84286,2023-07-04 17:03:31.000 +0800,2023-07-04 17:03:33.983 +0800,-00:00:38.017,2023-07-04 17:03:31.883 +0800
